product,product_category,warehouse_dist_km,product_weight_kg,shipment_mode,warehouse_processing_time_days,demand_forecast_unit,shipping_cost,delivery_time_days
Keyboard,Accessories,1878.12,2.05,Air,3,2568,396.12,6
SSD,Storage,1163.99,1.03,Air,5,1856,245.67,7
Laptop,Electronics,1701.77,3.57,Air,5,2587,411.75,8
Laptop,Electronics,1380.82,2.59,Air,3,3287,327.96,5
Smart Watch,Gadgets,877.44,0.84,Rail,2,1543,78.6,5
Monitor,Electronics,1380.7,0.51,Rail,5,4313,114.54,10
Speaker,Accessories,1969.02,1.41,Rail,3,4571,163.16,10
Tablet,Electronics,1182.09,2.27,Road,3,3148,135.27,6
Hard Drive,Storage,1982.32,0.45,Road,4,1212,193.0,10
Smart Watch,Gadgets,50.0,1.71,Road,1,1744,25.32,1
Hard Drive,Storage,1610.95,0.76,Road,3,2404,159.21,8
Refrigerator,Home Appliances,1243.52,43.13,Rail,2,373,746.43,7
SSD,Storage,1050.5,0.32,Rail,2,1771,85.64,6
Mouse,Accessories,1245.88,0.61,Air,4,2596,255.28,6
Refrigerator,Home Appliances,206.22,54.08,Rail,4,1212,827.7,5
Microwave,Home Appliances,1090.16,15.67,Road,1,1070,386.72,4
Mouse,Accessories,1378.56,2.45,Road,4,2411,144.1,8
Camera,Gadgets,1938.95,4.61,Air,2,2403,503.04,5
Smart Watch,Gadgets,940.86,3.1,Rail,4,2567,106.27,7
TV,Home Appliances,795.75,31.19,Road,4,1121,637.81,6
Hard Drive,Storage,949.12,1.29,Air,5,2484,205.95,7
Speaker,Accessories,1657.7,1.43,Road,2,4225,166.0,7
SSD,Storage,1364.38,1.36,Air,2,1447,289.88,4
TV,Home Appliances,935.12,15.95,Air,4,1034,785.15,6
SSD,Storage,1456.63,0.74,Air,4,2095,300.58,6
Smart Watch,Gadgets,1248.54,0.39,Rail,5,2058,103.78,10
Microwave,Home Appliances,1684.32,57.02,Road,4,1058,1188.05,9
Smart Watch,Gadgets,848.97,3.75,Road,2,2499,126.5,4
Speaker,Accessories,1036.17,1.42,Air,3,5312,221.43,5
Headphones,Accessories,1003.95,2.77,Rail,5,2220,91.4,9
TV,Home Appliances,468.24,37.35,Road,4,477,717.25,5
Microwave,Home Appliances,1348.06,10.61,Air,2,1131,667.49,4
SSD,Storage,1330.53,1.19,Air,4,1533,280.98,6
Monitor,Electronics,1202.56,0.57,Road,3,2418,120.92,6
Laptop,Electronics,1082.71,3.14,Rail,2,4937,111.74,6
Mobile Phone,Electronics,492.31,1.33,Road,1,3810,60.03,2
Headphones,Accessories,989.68,2.16,Road,2,6963,105.38,5
Smart Watch,Gadgets,1028.64,3.68,Road,2,1774,142.91,5
Laptop,Electronics,798.86,3.75,Road,4,3124,112.69,6
Keyboard,Accessories,1119.36,1.86,Rail,2,2834,96.99,6
Hard Drive,Storage,1402.03,1.24,Road,1,1922,142.03,5
Drone,Gadgets,2143.09,3.41,Air,3,551,513.87,7
Refrigerator,Home Appliances,1287.29,13.49,Rail,4,513,305.33,9
Microwave,Home Appliances,1328.78,46.16,Sea,3,1461,638.96,11
Drone,Gadgets,1162.78,2.48,Rail,5,1599,117.82,9
Hard Drive,Storage,240.61,1.28,Air,4,1498,64.12,4
TV,Home Appliances,1186.74,39.74,Road,1,1212,829.25,4
Hard Drive,Storage,1230.12,0.83,Air,3,1894,256.4,5
SSD,Storage,2431.62,0.92,Road,2,850,238.96,9
Headphones,Accessories,1103.82,1.57,Road,4,6020,113.5,7
Microwave,Home Appliances,1350.77,12.84,Air,2,827,751.65,4
Drone,Gadgets,1182.64,2.52,Road,4,2754,143.77,7
SSD,Storage,615.66,1.11,Air,3,1444,137.01,4
Mobile Phone,Electronics,1771.41,1.6,Road,2,2284,185.42,7
Headphones,Accessories,1575.97,0.97,Road,5,6888,155.95,10
Hard Drive,Storage,1595.52,1.28,Air,3,1234,335.1,6
Hard Drive,Storage,745.31,1.12,Air,1,723,163.06,2
Drone,Gadgets,1901.4,3.58,Air,4,920,469.78,7
Tablet,Electronics,499.07,2.14,Road,2,1710,68.45,3
SSD,Storage,1493.43,0.35,Air,4,803,303.06,7
Smart Watch,Gadgets,2295.23,3.53,Air,5,1744,547.3,9
Mobile Phone,Electronics,704.73,0.91,Road,5,3941,76.39,7
Camera,Gadgets,916.85,3.95,Air,4,1717,282.12,6
Drone,Gadgets,1249.83,1.74,Road,5,906,140.86,9
Mouse,Accessories,948.26,0.94,Air,2,3423,199.05,4
Camera,Gadgets,424.67,1.04,Road,5,2424,53.25,6
Hard Drive,Storage,1234.28,0.5,Road,4,791,121.49,8
Speaker,Accessories,668.85,2.41,Road,2,5482,75.78,4
Mobile Phone,Electronics,1436.8,2.77,Rail,2,1792,137.1,7
Mobile Phone,Electronics,740.29,3.27,Road,5,2682,102.46,7
Microwave,Home Appliances,1974.97,32.37,Road,4,757,772.26,10
Smart Watch,Gadgets,808.37,2.62,Air,1,2269,227.17,2
SSD,Storage,1038.97,0.23,Air,5,2904,210.67,7
Tablet,Electronics,1606.76,2.52,Road,2,3427,178.44,7
Smart Watch,Gadgets,584.57,2.38,Air,5,2285,176.41,6
Microwave,Home Appliances,1313.73,32.44,Road,3,414,710.04,7
Speaker,Accessories,1853.57,1.35,Road,4,6506,184.42,9
Monitor,Electronics,396.26,0.81,Air,1,4664,95.45,2
TV,Home Appliances,1292.32,50.9,Road,5,1146,1040.26,9
Microwave,Home Appliances,1329.94,17.75,Air,4,1480,931.61,6
Microwave,Home Appliances,1590.91,18.59,Road,3,1097,487.35,8
Microwave,Home Appliances,581.52,9.5,Road,2,524,226.83,4
Hard Drive,Storage,539.77,0.92,Air,1,2390,119.45,2
Mobile Phone,Electronics,1460.97,2.24,Road,5,4389,161.76,9
SSD,Storage,1348.49,1.29,Rail,2,2370,114.33,7
Camera,Gadgets,1325.25,2.1,Rail,5,1059,127.02,10
Tablet,Electronics,1373.22,3.2,Rail,3,4726,135.46,8
Drone,Gadgets,859.99,4.16,Air,3,2904,276.0,4
Smart Watch,Gadgets,1316.13,2.6,Air,5,2483,328.23,7
SSD,Storage,1346.54,0.92,Road,4,1818,134.79,8
Mouse,Accessories,842.82,1.8,Air,4,2357,186.56,5
SSD,Storage,2132.89,1.12,Rail,4,1123,176.23,12
Microwave,Home Appliances,1436.92,14.56,Rail,3,405,333.35,8
Microwave,Home Appliances,604.35,35.35,Road,2,1039,694.32,4
Keyboard,Accessories,1528.28,1.51,Rail,3,5256,128.3,9
Tablet,Electronics,712.66,3.48,Rail,4,2797,84.85,7
TV,Home Appliances,1593.54,9.87,Air,3,665,688.83,6
Monitor,Electronics,1779.3,3.92,Road,1,3317,208.44,6
Speaker,Accessories,789.66,2.73,Air,1,4403,185.23,2
SSD,Storage,1681.69,0.76,Air,4,2818,345.84,7
Mouse,Accessories,1406.39,0.69,Road,4,3972,138.33,8
TV,Home Appliances,1611.03,15.44,Road,3,1141,432.58,8
Hard Drive,Storage,2148.4,1.37,Road,3,2738,214.47,9
Keyboard,Accessories,1077.31,1.44,Air,5,4450,229.86,7
TV,Home Appliances,823.13,21.01,Rail,2,987,381.0,5
Microwave,Home Appliances,755.24,20.33,Road,5,805,438.44,7
Hard Drive,Storage,792.09,1.47,Road,3,533,84.86,5
Smart Watch,Gadgets,1161.45,3.96,Rail,5,2534,132.52,9
Hard Drive,Storage,1370.58,0.99,Air,2,1526,286.49,4
Keyboard,Accessories,1338.35,2.73,Road,3,5611,141.59,7
Tablet,Electronics,1613.59,3.06,Air,3,2838,383.92,6
Microwave,Home Appliances,1206.5,18.44,Road,3,1287,447.74,6
Drone,Gadgets,1926.77,4.2,Air,4,1708,490.35,7
Hard Drive,Storage,1067.67,0.81,Air,2,2127,223.66,4
Drone,Gadgets,2560.08,0.72,Air,3,2697,530.02,7
Monitor,Electronics,1512.83,1.79,Road,3,3894,162.42,7
TV,Home Appliances,771.42,56.9,Road,2,1165,1098.26,4
Tablet,Electronics,664.55,3.7,Air,1,4102,206.91,2
TV,Home Appliances,1441.24,23.71,Road,2,292,565.14,6
Tablet,Electronics,1088.27,3.99,Air,2,3701,297.45,4
Headphones,Accessories,1557.0,1.47,Road,5,5433,156.53,9
Smart Watch,Gadgets,1436.62,3.72,Rail,1,2504,152.13,6
Drone,Gadgets,1163.59,4.71,Air,3,1389,350.47,5
Refrigerator,Home Appliances,776.6,57.43,Sea,1,952,738.86,5
Smart Watch,Gadgets,442.58,1.99,Air,2,1000,138.27,3
Microwave,Home Appliances,976.74,42.46,Rail,5,243,715.04,9
Tablet,Electronics,1628.2,1.35,Air,5,2340,352.64,8
Mobile Phone,Electronics,1307.05,2.55,Rail,2,2845,124.96,7
Keyboard,Accessories,577.13,0.98,Rail,2,6425,50.09,4
Hard Drive,Storage,1286.59,0.34,Rail,2,560,104.63,7
Hard Drive,Storage,1392.66,0.97,Air,3,714,290.66,5
Headphones,Accessories,758.07,1.67,Road,4,5672,80.79,6
Hard Drive,Storage,1276.86,0.79,Air,5,677,265.25,7
Drone,Gadgets,1229.1,2.45,Rail,1,2461,122.83,6
Refrigerator,Home Appliances,628.51,43.68,Road,4,350,846.58,6
Tablet,Electronics,1378.89,2.63,Air,3,4057,328.38,5
Smart Watch,Gadgets,1480.39,3.65,Air,5,2673,387.33,8
SSD,Storage,1741.53,0.86,Road,1,2758,172.35,6
Headphones,Accessories,1726.9,1.46,Air,3,5715,359.98,6
Refrigerator,Home Appliances,511.17,45.94,Road,3,722,875.99,4
Hard Drive,Storage,731.09,1.09,Road,1,849,76.72,3
Monitor,Electronics,1457.52,0.84,Road,2,3778,147.99,6
Tablet,Electronics,1456.89,2.85,Road,4,4453,167.22,8
Tablet,Electronics,1457.52,2.6,Air,5,3578,343.5,7
Mouse,Accessories,3000.0,2.04,Air,1,4868,620.4,6
Drone,Gadgets,1485.45,0.84,Air,2,2257,318.09,5
Smart Watch,Gadgets,1767.78,3.18,Road,1,2994,207.87,6
Hard Drive,Storage,1677.0,0.43,Road,3,1891,163.57,8
Hard Drive,Storage,1525.7,0.44,Air,4,785,310.64,7
Keyboard,Accessories,1042.37,0.46,Road,4,5439,102.28,7
Refrigerator,Home Appliances,1579.48,16.19,Air,3,1362,923.02,6
Camera,Gadgets,813.59,4.45,Air,5,703,273.97,6
Tablet,Electronics,1081.59,2.05,Road,5,3310,123.51,8
Refrigerator,Home Appliances,957.32,19.21,Road,3,1080,437.68,6
Tablet,Electronics,1240.94,2.87,Road,5,4232,146.68,9
Hard Drive,Storage,2357.33,0.49,Rail,1,531,191.04,10
Speaker,Accessories,266.37,2.85,Road,3,4371,39.25,4
Hard Drive,Storage,1543.13,0.21,Road,2,1029,149.4,6
TV,Home Appliances,393.64,44.59,Rail,3,347,700.34,4
TV,Home Appliances,964.03,10.2,Air,1,841,575.31,3
Drone,Gadgets,1744.48,2.99,Road,4,1685,203.35,9
Monitor,Electronics,1232.14,0.57,Air,5,3384,257.83,7
Hard Drive,Storage,661.13,0.77,Air,4,2912,141.85,5
TV,Home Appliances,842.35,12.09,Rail,3,653,248.74,6
Hard Drive,Storage,1539.8,0.3,Road,5,2588,149.62,9
Speaker,Accessories,834.82,1.18,Rail,2,3935,71.51,5
Mobile Phone,Electronics,1308.23,1.4,Air,2,4613,289.65,4
Mobile Phone,Electronics,1222.79,3.83,Road,4,4590,154.16,7
Smart Watch,Gadgets,874.2,2.41,Rail,5,1823,94.04,8
Hard Drive,Storage,2271.97,0.77,Road,3,1625,222.73,9
Camera,Gadgets,1516.96,1.95,Air,4,2351,352.14,7
Laptop,Electronics,187.43,1.79,Air,1,4019,73.29,1
Smart Watch,Gadgets,1293.23,2.11,Road,1,2342,149.47,5
Smart Watch,Gadgets,869.11,1.18,Road,5,1117,97.59,7
Monitor,Electronics,1626.22,0.86,Rail,3,4425,136.98,9
Mobile Phone,Electronics,803.74,0.64,Road,4,3646,83.3,6
Smart Watch,Gadgets,1142.63,1.05,Air,3,2086,254.78,5
Refrigerator,Home Appliances,1452.49,43.3,Road,3,334,918.84,7
Hard Drive,Storage,1632.88,0.93,Air,3,2968,338.2,6
Speaker,Accessories,599.85,0.43,Road,3,4541,59.65,5
Microwave,Home Appliances,1032.75,38.94,Sea,3,1344,533.38,9
TV,Home Appliances,962.53,49.17,Rail,5,391,814.55,9
TV,Home Appliances,873.34,26.82,Road,2,638,566.6,4
SSD,Storage,2082.73,0.45,Rail,2,816,168.87,10
Hard Drive,Storage,1402.49,0.86,Road,5,654,139.8,9
Hard Drive,Storage,569.56,0.98,Air,2,1178,126.16,3
Microwave,Home Appliances,1658.93,29.36,Rail,2,1109,573.11,8
Drone,Gadgets,2261.08,3.84,Road,2,2687,263.14,8
Speaker,Accessories,1716.23,2.9,Road,2,5013,178.68,7
Drone,Gadgets,440.32,2.47,Air,4,2559,149.81,5
Drone,Gadgets,957.88,4.84,Rail,5,1066,125.03,9
Hard Drive,Storage,1833.46,1.03,Rail,5,920,151.83,12
Camera,Gadgets,846.17,1.64,Road,3,2340,100.91,5
Camera,Gadgets,1421.91,4.21,Air,2,2347,389.63,4
Hard Drive,Storage,1587.32,0.74,Air,3,1465,326.71,6
Microwave,Home Appliances,736.53,27.5,Road,1,886,565.71,3
Mouse,Accessories,1170.24,0.31,Rail,4,3136,94.86,8
Refrigerator,Home Appliances,50.0,40.0,Sea,1,724,483.2,1
Mouse,Accessories,687.81,1.74,Road,5,5467,74.38,7
Tablet,Electronics,1073.72,1.33,Air,2,3219,241.34,4
Drone,Gadgets,576.11,0.6,Rail,4,2944,52.09,6
Camera,Gadgets,2016.21,3.27,Road,2,1693,232.8,8
Microwave,Home Appliances,484.93,39.97,Road,4,583,766.01,5
Tablet,Electronics,979.98,0.74,Road,5,4721,101.18,8
Smart Watch,Gadgets,1265.37,0.4,Rail,1,2084,105.23,6
SSD,Storage,1920.64,1.17,Air,1,1912,398.75,4
Keyboard,Accessories,482.07,2.36,Road,3,3092,57.61,4
Tablet,Electronics,1781.58,2.41,Rail,2,4901,161.81,9
TV,Home Appliances,1205.12,32.88,Road,2,329,707.53,5
Microwave,Home Appliances,709.25,23.26,Air,2,285,1014.1,3
SSD,Storage,1431.05,0.87,Rail,5,2439,118.83,10
Hard Drive,Storage,1299.53,1.18,Air,3,695,274.66,5
SSD,Storage,899.89,0.36,Air,4,2301,184.48,6
Refrigerator,Home Appliances,1234.9,58.63,Road,4,952,1173.89,8
Drone,Gadgets,1007.34,4.07,Road,1,2263,145.54,4
Camera,Gadgets,1256.76,2.86,Air,1,1843,322.85,3
SSD,Storage,1531.07,0.78,Road,2,2318,151.66,6
SSD,Storage,1993.01,0.26,Rail,3,2281,160.74,10
Hard Drive,Storage,581.09,0.3,Road,3,2601,57.58,5
Keyboard,Accessories,2266.52,0.6,Road,4,2285,220.47,10
Keyboard,Accessories,223.96,0.86,Road,3,5136,25.63,4
Camera,Gadgets,1124.11,3.14,Road,3,2023,145.59,6
Microwave,Home Appliances,1494.16,37.84,Rail,4,843,687.13,10
Hard Drive,Storage,1340.5,1.45,Air,2,2544,286.23,4
Drone,Gadgets,888.65,4.59,Air,3,2327,292.48,5
Speaker,Accessories,1095.94,2.14,Rail,2,3004,96.24,6
Keyboard,Accessories,953.5,1.47,Rail,4,2719,82.16,8
SSD,Storage,905.32,1.12,Road,3,1728,93.63,6
Mouse,Accessories,1624.8,2.42,Road,1,3646,167.6,6
Mouse,Accessories,1378.51,2.41,Air,5,6688,299.8,7
SSD,Storage,853.55,1.24,Road,5,853,89.38,7
Tablet,Electronics,1649.8,1.89,Road,4,3653,176.52,9
Refrigerator,Home Appliances,1353.65,50.81,Road,3,351,1044.53,7
Refrigerator,Home Appliances,1606.43,43.37,Road,5,1403,934.88,10
Mouse,Accessories,1514.81,1.41,Rail,1,3017,126.82,7
Camera,Gadgets,785.5,1.73,Air,2,1917,200.35,3
Drone,Gadgets,919.91,4.28,Air,5,1624,290.98,7
Speaker,Accessories,1573.65,1.92,Air,2,6848,333.93,5
Camera,Gadgets,1505.19,1.1,Road,5,1882,157.7,9
Camera,Gadgets,1189.55,4.18,Air,1,2862,342.41,3
Hard Drive,Storage,1258.66,1.2,Road,1,2539,128.03,5
Drone,Gadgets,1838.83,3.32,Air,2,2163,450.77,5
SSD,Storage,904.21,0.29,Air,4,2202,184.47,6
Refrigerator,Home Appliances,1473.55,18.61,Road,3,853,476.44,7
SSD,Storage,1098.9,0.37,Air,5,934,224.41,7
Hard Drive,Storage,1091.16,0.81,Air,2,1077,228.36,4
Laptop,Electronics,1749.39,1.52,Air,5,3212,380.28,8
Mouse,Accessories,1612.71,2.48,Rail,3,3555,138.94,9
Headphones,Accessories,1606.75,2.99,Road,3,6074,168.6,8
Laptop,Electronics,1852.74,3.81,Road,2,2381,214.44,7
Drone,Gadgets,1210.5,0.53,Air,5,2427,255.35,7
Hard Drive,Storage,1540.98,1.3,Road,3,1998,155.73,7
Refrigerator,Home Appliances,1044.87,10.35,Air,5,598,597.1,7
SSD,Storage,1362.08,0.3,Road,5,1645,132.56,9
Smart Watch,Gadgets,1134.93,3.17,Air,1,2113,306.24,3
SSD,Storage,1248.5,0.93,Air,2,1315,261.32,4
Smart Watch,Gadgets,1497.58,2.19,Air,1,1061,354.27,4
SSD,Storage,790.89,0.88,Air,5,1072,169.18,6
SSD,Storage,2246.19,0.41,Rail,3,2931,181.75,11
SSD,Storage,696.99,1.12,Air,1,2008,153.4,2
Hard Drive,Storage,592.91,1.47,Road,1,2944,65.74,3
Refrigerator,Home Appliances,1779.06,58.29,Rail,5,1382,1016.67,12
Keyboard,Accessories,1595.83,1.83,Air,5,5114,337.47,8
Mouse,Accessories,1512.06,0.29,Rail,1,3562,122.12,7
Monitor,Electronics,1514.17,1.6,Air,2,3180,334.83,5
Smart Watch,Gadgets,1193.88,4.63,Rail,1,1065,141.81,5
Camera,Gadgets,751.37,2.94,Rail,4,2652,89.51,7
Refrigerator,Home Appliances,1237.9,57.75,Road,5,901,1158.34,9
Drone,Gadgets,861.42,3.48,Rail,3,2998,103.71,6
Microwave,Home Appliances,1687.56,57.78,Road,3,660,1202.05,8
SSD,Storage,1126.47,1.12,Road,4,1798,114.86,7
Refrigerator,Home Appliances,787.25,37.15,Sea,3,789,496.18,7
Monitor,Electronics,1039.31,3.64,Air,3,4666,280.66,5
Speaker,Accessories,1406.47,0.32,Rail,1,4837,113.8,6
TV,Home Appliances,918.14,21.34,Road,2,1303,472.26,5
SSD,Storage,788.89,0.38,Road,5,1480,78.01,7
Keyboard,Accessories,1321.84,2.08,Road,2,2430,136.88,6
Monitor,Electronics,1322.48,1.66,Road,2,1521,142.89,6
Camera,Gadgets,946.53,2.21,Rail,4,2455,97.82,8
Speaker,Accessories,964.48,1.1,Road,1,6703,97.87,4
Keyboard,Accessories,1316.02,2.76,Air,2,2297,290.8,4
Refrigerator,Home Appliances,475.96,17.69,Road,3,276,364.11,4
Tablet,Electronics,496.27,2.49,Air,3,2665,149.05,4
TV,Home Appliances,840.78,36.25,Road,2,1232,733.21,4
Refrigerator,Home Appliances,1093.28,18.03,Air,2,1139,894.78,4
Hard Drive,Storage,1355.45,0.22,Air,3,2825,273.84,5
Mouse,Accessories,1937.68,1.91,Road,4,5503,195.19,10
Drone,Gadgets,1628.83,0.71,Road,2,1075,164.89,7
Refrigerator,Home Appliances,1120.03,56.66,Road,4,682,1127.4,7
Refrigerator,Home Appliances,1190.49,57.61,Road,5,223,1151.27,8
SSD,Storage,698.74,1.1,Air,1,2406,153.5,2
Hard Drive,Storage,1190.74,0.73,Road,3,980,118.69,6
SSD,Storage,1055.67,1.0,Air,2,2458,223.63,4
Headphones,Accessories,1361.36,2.29,Road,4,6499,141.68,8
TV,Home Appliances,786.38,49.7,Rail,2,1420,808.41,5
Monitor,Electronics,1459.67,2.35,Air,5,1959,338.93,8
Mobile Phone,Electronics,1966.37,2.5,Air,3,4999,443.27,6
Drone,Gadgets,1145.62,0.85,Air,5,2502,250.37,7
Monitor,Electronics,1400.86,3.33,Road,5,3201,166.45,9
TV,Home Appliances,1545.07,11.0,Road,3,244,346.33,7
Refrigerator,Home Appliances,999.39,50.46,Rail,5,349,836.85,9
Monitor,Electronics,1312.05,1.71,Air,1,1782,296.61,3
Microwave,Home Appliances,1206.3,22.93,Air,2,1060,1101.13,4
SSD,Storage,1248.84,0.78,Rail,4,2038,103.81,9
Mobile Phone,Electronics,813.5,2.79,Air,2,3700,218.5,3
TV,Home Appliances,1212.26,14.62,Rail,1,246,316.28,6
SSD,Storage,1449.0,1.08,Road,5,2053,145.58,9
Mouse,Accessories,1925.57,1.49,Air,2,2924,400.01,5
Monitor,Electronics,1679.64,2.65,Rail,1,2485,155.57,7
Keyboard,Accessories,2276.59,0.48,Air,5,2398,460.12,9
Keyboard,Accessories,816.33,1.33,Air,2,2462,176.57,3
Speaker,Accessories,1636.16,0.86,Rail,5,4612,134.33,11
Smart Watch,Gadgets,1291.67,3.93,Rail,2,1736,142.63,7
Mouse,Accessories,2294.9,1.36,Air,5,6846,472.58,9
Headphones,Accessories,795.85,1.76,Air,3,5122,176.77,4
Drone,Gadgets,780.14,3.57,Road,3,2041,117.73,5
Headphones,Accessories,900.3,0.87,Air,2,5793,188.76,4
Monitor,Electronics,138.05,3.89,Road,2,3090,50.6,2
Speaker,Accessories,937.12,0.77,Road,4,5039,93.66,7
Mobile Phone,Electronics,820.43,0.68,Air,5,3969,177.69,6
Laptop,Electronics,1275.2,1.16,Road,5,2388,133.56,9
Microwave,Home Appliances,1370.88,53.21,Road,1,633,1089.38,5
Keyboard,Accessories,2138.09,2.29,Road,2,6951,216.25,8
Headphones,Accessories,1675.21,2.76,Road,3,5118,174.07,8
TV,Home Appliances,911.55,41.73,Road,3,1250,838.65,6
Refrigerator,Home Appliances,750.79,13.13,Rail,4,855,257.01,7
Speaker,Accessories,1445.96,1.08,Air,2,3195,299.99,4
Tablet,Electronics,539.88,2.44,Road,4,2709,75.25,6
Mouse,Accessories,2115.73,1.12,Air,2,6090,434.35,6
Smart Watch,Gadgets,1789.72,4.73,Air,4,2509,476.19,7
Microwave,Home Appliances,965.41,46.1,Road,2,1319,922.48,5
Microwave,Home Appliances,343.43,55.68,Rail,1,1273,862.67,2
Laptop,Electronics,1876.94,3.81,Road,1,3189,216.76,6
Mouse,Accessories,1142.73,0.39,Air,2,6142,232.45,4
Refrigerator,Home Appliances,1818.91,11.14,Road,5,1189,375.14,10
Microwave,Home Appliances,402.79,8.34,Road,1,234,188.79,2
Smart Watch,Gadgets,900.31,1.59,Rail,1,2557,87.92,4
Microwave,Home Appliances,1202.62,13.56,Air,2,693,749.02,4
Speaker,Accessories,1223.49,2.48,Air,4,2647,269.5,6
SSD,Storage,974.97,0.8,Air,2,1728,204.99,4
Laptop,Electronics,1511.42,0.83,Air,5,3449,318.88,8
Laptop,Electronics,666.19,2.96,Air,4,4141,192.44,5
Hard Drive,Storage,1128.81,1.36,Rail,2,1365,97.1,6
Drone,Gadgets,1260.15,1.57,Rail,3,2724,116.51,8
Smart Watch,Gadgets,1457.22,0.45,Rail,3,564,121.08,8
Mouse,Accessories,1555.81,2.31,Road,4,2630,160.45,8
Hard Drive,Storage,637.68,0.93,Road,4,2714,66.8,6
SSD,Storage,432.94,1.18,Air,1,2551,101.34,2
Hard Drive,Storage,1838.84,0.33,Air,1,1895,371.89,4
